titulo;precio;categoria;link;img
Xiaomi Redmi Note 8 4GB 64GB 48MP M1908C...;S/ 549.00;Celulares y Tablets;https:/p/xiaomi-redmi-note-8-4gb-64gb-48mp-m1908c3jg-4000mah-smartphone-azul-s1dntl?qid=db49a19d876710ea2f3908d975562522&oid=XI061EL0QHV60LPE&position=1&sku=XI061EL0QHV60LPE;63912b074cd043b846c95703fd8d895a-catalog.jpg
Xiaomi Redmi Note 8 4GB 64GB M1908C3JG 4...;S/ 549.00;Celulares y Tablets;https:/p/xiaomi-redmi-note-8-4gb-64gb-m1908c3jg-4000mah-smartphone-blanco-x16kih?qid=db49a19d876710ea2f3908d975562522&oid=XI061EL07FZT4LPE&position=2&sku=XI061EL07FZT4LPE;6a0b82874f54a683cb1990b24f69fe07-catalog.jpg
Xiaomi Redmi Note 8 4GB 64GB 48MP M1908C...;S/ 549.00;Celulares y Tablets;https:/p/xiaomi-redmi-note-8-4gb-64gb-48mp-m1908c3jg-4000mah-smartphone-negro-wxlyw3?qid=db49a19d876710ea2f3908d975562522&oid=XI061EL0AYGA0LPE&position=3&sku=XI061EL0AYGA0LPE;c46530b12f98712964b0c81347f911c9-catalog.jpg
Xiaomi Redmi Note 8 4GB 128GB M1908C3JG...;S/ 619.00;Celulares y Tablets;https:/p/xiaomi-redmi-note-8-4gb-128gb-m1908c3jg-smartphone-azul-lf8al5?qid=db49a19d876710ea2f3908d975562522&oid=XI061EL1ELOOGLPE&position=4&sku=XI061EL1ELOOGLPE;4abaea140266688324a202907bd290f2-catalog.jpg
Samsung Galaxy A71 128GB/6GB Dual Sim Ne...;S/ 1,499.00;Celulares y Tablets;https:/p/samsung-galaxy-a71-128gb-6gb-dual-sim-negro-ymuxqp?qid=db49a19d876710ea2f3908d975562522&oid=SA026EL03B2PELPE&position=5&sku=SA026EL03B2PELPE;92fbc53001d0ab22fc5d173522eff711-catalog.jpg
iPhone 11 64 GB Single Sim-White;S/ 3,199.00;Celulares y Tablets;https:/p/iphone-11-64-gb-single-sim-white-vdni30?qid=db49a19d876710ea2f3908d975562522&oid=AP032EL0D77GCLPE&position=6&sku=AP032EL0D77GCLPE;4f95224a93dfa15c8768c04739523a77-catalog.jpg
iPhone 11 64 GB Single Sim-Purple;S/ 3,199.00;Celulares y Tablets;https:/p/iphone-11-64-gb-single-sim-purple-wzdwla?qid=db49a19d876710ea2f3908d975562522&oid=AP032EL097O0KLPE&position=7&sku=AP032EL097O0KLPE;6ad28232e888ef110c0f0b81a94cca0f-catalog.jpg
Samsung Galaxy S10+ Plus Negro 128GB 8GB...;S/ 2,399.00;Celulares y Tablets;https:/p/samsung-galaxy-s10-plus-negro-128gb-8gb-ram-s35usx?qid=db49a19d876710ea2f3908d975562522&oid=SA026EL0OK7AOLPE&position=8&sku=SA026EL0OK7AOLPE;ef49a2e8806137f368239320d2939b35-catalog.jpg
"Redmi 8 6.22"" HD+ 4 + 64GB 12MP Camera 4...";S/ 459.00;Celulares y Tablets;https:/p/redmi-8-622-hd-4-64gb-12mp-camera-4g-lte-smartphone-azul-ldce61?qid=db49a19d876710ea2f3908d975562522&oid=XI061EL1G79U2LPE&position=9&sku=XI061EL1G79U2LPE;448038d29f5a64f0f841011017160251-catalog.jpg
Smartwatch Huawei Watch GT2 46mm Matte B...;S/ 629.00;Celulares y Tablets;https:/p/smartwatch-huawei-watch-gt2-46mm-matte-black-jthkis?qid=db49a19d876710ea2f3908d975562522&oid=HU445EL1IFWOKLPE&position=10&sku=HU445EL1IFWOKLPE;a89cb0155f9ebe7180537d29c50c638e-catalog.jpg
HUAWEI Tablet T5-10 3GRAM +32G - Negro;S/ 599.00;Celulares y Tablets;https:/p/huawei-tablet-t5-10-3gram-32g-negro-lemy3c?qid=db49a19d876710ea2f3908d975562522&oid=HU445EL1EZTV0LPE&position=11&sku=HU445EL1EZTV0LPE;a52a62e4585cdbf806628ff4d56a772d-catalog.jpg
Xiaomi Redmi Note 8 4GB 64GB 48MP 4000mA...;S/ 739.00;Celulares y Tablets;https:/p/xiaomi-redmi-note-8-4gb-64gb-48mp-4000mah-ca-maras-smartphone-azul-onbudr?qid=db49a19d876710ea2f3908d975562522&oid=XI061EL156TRCLPE&position=12&sku=XI061EL156TRCLPE;1994188dbc6770e80c01e62c80cf8da2-catalog.jpg
New Edition Huawei P30 Lite 6gb Ram 256g...;S/ 1,165.00;Celulares y Tablets;https:/p/new-edition-huawei-p30-lite-6gb-ram-256gb-piedra-luna-s1bnbm?qid=db49a19d876710ea2f3908d975562522&oid=HU445EL0QA4JQLPE&position=13&sku=HU445EL0QA4JQLPE;550b6a77326604c0454a256a0aa209cb-catalog.jpg
Huawei P30 Lite 128GB 4GB Ram - Blue;S/ 889.00;Celulares y Tablets;https:/p/huawei-p30-lite-128gb-4gb-ram-blue-x012p8?qid=db49a19d876710ea2f3908d975562522&oid=HU445EL08JXDMLPE&position=14&sku=HU445EL08JXDMLPE;11f28238425fda75a0474640404a7bdf-catalog.jpg
Xiaomi Redmi 8A 32GB Negro;S/ 489.00;Celulares y Tablets;https:/p/xiaomi-redmi-8a-32gb-negro-n3yg1o?qid=db49a19d876710ea2f3908d975562522&oid=6V2SZ731Y3A76941059630593&position=15&sku=XI061EL16VPNOLPE;c6f1c4a63a171e3debba39487597a1ec-catalog.jpg
Xiaomi Mi Note 10 6GB RAM 128GB ROM - VE...;S/ 1,798.00;Celulares y Tablets;https:/p/xiaomi-mi-note-10-6gb-ram-128gb-rom-verde-version-global-jp81jm?qid=db49a19d876710ea2f3908d975562522&oid=XI061EL1ME57QLPE&position=16&sku=XI061EL1ME57QLPE;e4f773cc59589b510f65630a3b87bcc7-catalog.jpg
Xiaomi Redmi Note 8 4GB 64GB 48MP 4000mA...;S/ 739.00;Celulares y Tablets;https:/p/xiaomi-redmi-note-8-4gb-64gb-48mp-4000mah-ca-maras-smartphone-blanco-lh0m85?qid=db49a19d876710ea2f3908d975562522&oid=XI061EL1CE66GLPE&position=17&sku=XI061EL1CE66GLPE;5faef98623062d40ccc6957e6a21ec15-catalog.jpg
Xiaomi Mi Note 10 PRO 256GB ROM / 8GB RA...;S/ 2,199.00;Celulares y Tablets;https:/p/xiaomi-mi-note-10-pro-256gb-rom-8gb-ram-versio-n-global-verde-qarnkj?qid=db49a19d876710ea2f3908d975562522&oid=XI061EL0Z5F82LPE&position=18&sku=XI061EL0Z5F82LPE;a3535ada148b5a826815e6a9b2843295-catalog.jpg
Smartphone Xiaomi, Mi 9, 128GB ROM, 6G R...;S/ 2,000.00;Celulares y Tablets;https:/p/smartphone-xiaomi-mi-9-128gb-rom-6g-ram-dual-sim-desbloqueado-s0pris?qid=db49a19d876710ea2f3908d975562522&oid=XI061EL0QTO92LPE&position=19&sku=XI061EL0QTO92LPE;e91d08e25e4b86806768fccbbe09c137-catalog.jpg
XIaomi Redmi Note 8 PRO 64GB/6GB VERSION...;S/ 969.00;Celulares y Tablets;https:/p/xiaomi-redmi-note-8-pro-64gb-6gb-version-global-dual-sim-verde-s2ilmk?qid=db49a19d876710ea2f3908d975562522&oid=XI061EL0P09BALPE&position=20&sku=XI061EL0P09BALPE;1faeafeee1765f45bea3bd79096e4600-catalog.jpg
Xiaomi Mi Note 10 Pro 8GB 256GB 108MP Cá...;S/ 2,029.00;Celulares y Tablets;https:/p/xiaomi-mi-note-10-pro-8gb-256gb-108mp-ca-mara-4g-smartphone-negro-v9e0mj?qid=db49a19d876710ea2f3908d975562522&oid=XI061EL0HBG42LPE&position=21&sku=XI061EL0HBG42LPE;9383315a0fbc4d19c242de6fe7f2a4fd-catalog.jpg
Samsung Galaxy A71 128GB 6GB RAM - Negro;S/ 1,450.00;Celulares y Tablets;https:/p/samsung-galaxy-a71-128gb-6gb-ram-negro-jqelxq?qid=db49a19d876710ea2f3908d975562522&oid=SA026EL1LABKMLPE&position=22&sku=SA026EL1LABKMLPE;926ee4beb576f352dcec51951a6a7691-catalog.jpg
Samsung Galaxy A51 128GB/4GB LIBRE DE FA...;S/ 1,079.00;Celulares y Tablets;https:/p/samsung-galaxy-a51-128gb-4gb-libre-de-fabrica-azul-jsspgk?qid=db49a19d876710ea2f3908d975562522&oid=SA026EL1J1GXALPE&position=23&sku=SA026EL1J1GXALPE;b1e5783cd838e4e21721f9dc4b62842b-catalog.jpg
Samsung Galaxy Note 10+ Plus 256GB Ram 1...;S/ 3,458.99;Celulares y Tablets;https:/p/samsung-galaxy-note-10-plus-256gb-ram-12gb-dual-sim-glow-oncum8?qid=db49a19d876710ea2f3908d975562522&oid=SA026EL15E0XMLPE&position=24&sku=SA026EL15E0XMLPE;31a25cd07299bac50d2d696eebe2316c-catalog.jpg
Samsung Galaxy A51 128GB/GB- NEGRO;S/ 1,059.00;Celulares y Tablets;https:/p/samsung-galaxy-a51-128gb-gb-negro-ryc8sc?qid=db49a19d876710ea2f3908d975562522&oid=SA026EL0TFYJILPE&position=25&sku=SA026EL0TFYJILPE;a46bca321dc4cf7af10c3b435499af10-catalog.jpg
Samsung Galaxy A51 128GB/GB - BLANCO Dua...;S/ 1,089.00;Celulares y Tablets;https:/p/samsung-galaxy-a51-128gb-gb-blanco-dual-sim-tmgkpn?qid=db49a19d876710ea2f3908d975562522&oid=SA026EL0MNVKYLPE&position=26&sku=SA026EL0MNVKYLPE;fc515992ab4b6beb15135795023590ab-catalog.jpg
HUAWEI Y9S 128GB 6GB - AZUL;S/ 1,029.00;Celulares y Tablets;https:/p/huawei-y9s-128gb-6gb-azul-to9bp8?qid=db49a19d876710ea2f3908d975562522&oid=SA026EL0L3W2MLPE&position=27&sku=SA026EL0L3W2MLPE;b92bc12d33f9a8c1296fb5057b08732b-catalog.jpg
